date,prediction,confidence_interval
2025-03-01,244029.1659953196,"[198955.3033449957, 289103.0286456435]"
2025-04-01,244115.05836464302,"[180806.1278290566, 307423.98890022945]"
2025-05-01,248935.4908557764,"[165665.9053938358, 332205.07631771703]"
2025-06-01,255000.9317889598,"[143366.49377372194, 366635.3698041977]"
2025-07-01,254456.7912757523,"[109222.64398683672, 399690.9385646679]"
2025-08-01,258688.07562679984,"[81724.22415366396, 435651.9270999357]"
2025-09-01,263807.56517022836,"[51213.78785332362, 476401.3424871331]"
2025-10-01,267401.11568053666,"[15336.206254286866, 519466.02510678646]"
2025-11-01,270884.708387542,"[-22168.958735544235, 563938.3755106282]"
2025-12-01,276262.15901339566,"[-59424.48364346038, 611948.8016702516]"
2026-01-01,281236.73020407045,"[-100056.64631118719, 662530.1067193281]"
2026-02-01,285999.0863295102,"[-143019.665702548, 715017.8383615684]"
2026-03-01,291504.8021741891,"[-186964.76149515022, 769974.3658435284]"
2026-04-01,297493.5368021292,"[-232579.8072382593, 827566.8808425176]"
2026-05-01,303390.2111052922,"[-280467.18253031676, 887247.6047409012]"
2026-06-01,309654.5022033062,"[-329825.4127917248, 949134.4171983371]"
2026-07-01,316400.2340855166,"[-380606.198312737, 1013406.6664837701]"
2026-08-01,323363.32046179747,"[-433169.73332534364, 1079896.3742489386]"
2026-09-01,330563.265692892,"[-487384.93566084956, 1148511.4670466336]"
2026-10-01,338169.1139829149,"[-543022.3243465566, 1219360.5523123862]"
2026-11-01,346105.32654244476,"[-600204.989720863, 1292415.6428057526]"
2026-12-01,354317.8066379799,"[-658966.1589551171, 1367601.7722310768]"
2027-01-01,362875.4056100582,"[-719187.9956288317, 1444938.8068489481]"
2027-02-01,371795.0465685725,"[-780853.7888174723, 1524443.8819546173]"
