date,prediction,confidence_interval
2025-03-01,210815.2984699198,"[129758.04130580153, 291872.55563403806]"
2025-04-01,223967.15976806878,"[112569.04663933285, 335365.27289680473]"
2025-05-01,285010.5053579118,"[121331.17373987174, 448689.8369759519]"
2025-06-01,272373.3567767183,"[45284.10439763768, 499462.6091557989]"
2025-07-01,315609.03524991445,"[28275.099131880444, 602942.9713679485]"
2025-08-01,341424.28387568874,"[-19106.544384873938, 701955.1121362514]"
2025-09-01,359449.5999649682,"[-76421.97453338857, 795321.174463325]"
2025-10-01,397894.1091343529,"[-117698.2677735911, 913486.4860422969]"
2025-11-01,421888.65528041933,"[-179734.6719938062, 1023511.9825546448]"
2025-12-01,453523.3722784318,"[-236805.80608808924, 1143852.5506449528]"
2026-01-01,487707.54989817546,"[-296149.54274404695, 1271564.6425403978]"
2026-02-01,518252.5863689613,"[-363032.2247060078, 1399537.3974439304]"
2026-03-01,554368.0338342516,"[-427720.94120707293, 1536457.008875576]"
2026-04-01,589558.506203022,"[-497311.070053497, 1676428.082459541]"
2026-05-01,625867.4010639293,"[-569068.165732773, 1820802.9678606316]"
2026-06-01,664536.5915152186,"[-641861.1675982708, 1970934.350628708]"
2026-07-01,703182.7454649457,"[-718026.640902298, 2124392.1318321894]"
2026-08-01,743675.1941494205,"[-795440.1809448892, 2282790.56924373]"
2026-09-01,785285.9430615724,"[-874886.9691098608, 2445458.8552330057]"
2026-10-01,827805.5196503759,"[-956434.3450472215, 2612045.3843479734]"
2026-11-01,871836.7182064705,"[-1039403.2507034218, 2783076.6871163626]"
2026-12-01,916851.9441965843,"[-1124290.374044397, 2957994.2624375657]"
2027-01-01,963093.2628726953,"[-1210755.4606298245, 3136941.9863752155]"
2027-02-01,1010581.100915137,"[-1298737.694259899, 3319899.896090173]"
