date,prediction,confidence_interval
2025-03-01,390288.99391148484,"[359755.8005951715, 420822.18722779816]"
2025-04-01,370875.296372876,"[307963.8932334549, 433786.69951229705]"
2025-05-01,337159.0483752677,"[224535.80061901212, 449782.2961315233]"
2025-06-01,305318.8213225121,"[125639.51152869913, 484998.1311163251]"
2025-07-01,264052.34191090334,"[-3685.2102883727057, 531789.8941101794]"
2025-08-01,219143.71545268813,"[-155541.2497263211, 593828.6806316974]"
2025-09-01,166904.2024739766,"[-337732.14153258153, 671540.5464805347]"
2025-10-01,110994.23337645626,"[-546639.9744357958, 768628.4411887084]"
2025-11-01,47856.52008157629,"[-787589.9653533712, 883303.0055165238]"
2025-12-01,-19936.422791495614,"[-1058670.5928131859, 1018797.7472301947]"
2026-01-01,-94018.29823407013,"[-1363209.0081542796, 1175172.4116861392]"
2026-02-01,-173316.57074450282,"[-1700773.9496964235, 1354140.8082074178]"
2026-03-01,-258800.34595562064,"[-2073626.9282167489, 1556026.2363055074]"
2026-04-01,-349675.785117849,"[-2481835.4863685165, 1782483.9161328187]"
2026-05-01,-446587.0762397696,"[-2927134.8456652025, 2033960.693185663]"
2026-06-01,-549138.0862936497,"[-3409964.165906318, 2311687.9933190183]"
2026-07-01,-657655.4560064758,"[-3931650.568009725, 2616339.6559967734]"
2026-08-01,-771923.3700965958,"[-4492815.870029106, 2948969.129835914]"
2026-09-01,-892165.2200499305,"[-5094587.846993671, 3310257.4068938093]"
2026-10-01,-1018256.0454025446,"[-5737662.12599699, 3701150.035191901]"
2026-11-01,-1150329.6932829444,"[-6423023.403116496, 4122364.016550608]"
2026-12-01,-1288332.6457888414,"[-7151410.38768536, 4574745.0961076785]"
2027-01-01,-1432352.1949494877,"[-7923714.942442937, 5059010.5525439605]"
2027-02-01,-1582365.2503308002,"[-8740681.79954277, 5575951.298881169]"
