date,prediction,confidence_interval
2025-03-01,253186.52364268393,"[201403.51746247592, 304969.5298228919]"
2025-04-01,244871.37465762888,"[187383.71411611832, 302359.03519913944]"
2025-05-01,239248.56110270994,"[178278.4654423881, 300218.6567630318]"
2025-06-01,240688.31537450998,"[173007.551820204, 308369.07892881596]"
2025-07-01,237979.01210081243,"[165851.57559575292, 310106.44860587193]"
2025-08-01,235208.71407009652,"[159552.9059252396, 310864.52221495344]"
2025-09-01,233873.95186501127,"[154549.24592059525, 313198.6578094273]"
2025-10-01,231971.56289998232,"[149474.58075422683, 314468.5450457378]"
2025-11-01,230006.45968013618,"[144725.24625512306, 315287.6731051493]"
2025-12-01,228352.93063886935,"[140470.23138527042, 316235.6298924683]"
2026-01-01,226668.59318104212,"[136423.77517637255, 316913.4111857117]"
2026-02-01,225000.28425987496,"[132610.524011201, 317390.0445085489]"
2026-03-01,223428.6520313092,"[129062.01445967676, 317795.28960294166]"
2026-04-01,221896.91096624057,"[125713.48466292657, 318080.33726955455]"
2026-05-01,220404.67743444614,"[122550.79488592314, 318258.55998296913]"
2026-06-01,218966.99194247279,"[119570.81971781432, 318363.16416713124]"
2026-07-01,217573.93668324818,"[116752.71505647499, 318395.1583100214]"
2026-08-01,216223.0171138833,"[114083.91323558018, 318362.1209921864]"
2026-09-01,214915.97740629397,"[111556.1002421112, 318275.85457047675]"
2026-10-01,213650.27195823553,"[109158.48675964965, 318142.0571568214]"
2026-11-01,212424.20051355648,"[106882.03393771434, 317966.3670893986]"
2026-12-01,211237.06209456985,"[104719.26334846499, 317754.8608406747]"
2027-01-01,210087.4801591248,"[102662.79329364638, 317512.16702460323]"
2027-02-01,208974.1667732866,"[100705.93171710319, 317242.40182947]"
