date,prediction,confidence_interval
2025-03-01,1002964.2679319263,"[934939.3884686993, 1070989.1473951533]"
2025-04-01,1033682.6682170504,"[913417.6456391088, 1153947.6907949918]"
2025-05-01,1019725.6306912941,"[859527.3994888505, 1179923.8618937377]"
2025-06-01,1012532.6413454813,"[825699.6585518107, 1199365.624139152]"
2025-07-01,1016168.5663624076,"[806925.3062310715, 1225411.8264937438]"
2025-08-01,1030777.5651793344,"[799519.4059285093, 1262035.7244301594]"
2025-09-01,1044646.9918501108,"[789962.8957768201, 1299331.0879234015]"
2025-10-01,1056203.2310046197,"[777456.6787355843, 1334949.7832736552]"
2025-11-01,1065470.321102136,"[762638.9392869021, 1368301.70291737]"
2025-12-01,1075126.3254665495,"[748476.6556344621, 1401775.9952986368]"
2026-01-01,1085676.501783678,"[735252.5797773532, 1436100.423790003]"
2026-02-01,1097110.488614854,"[722761.9656226912, 1471459.0116070167]"
2026-03-01,1108813.8960016856,"[710278.7766260928, 1507349.0153772784]"
2026-04-01,1120638.142846419,"[697661.7249942676, 1543614.5606985705]"
2026-05-01,1132584.8940772824,"[684929.3172028278, 1580240.470951737]"
2026-06-01,1144795.4626213962,"[672228.1861983838, 1617362.7390444085]"
2026-07-01,1157311.3757057395,"[659583.8693433811, 1655038.8820680978]"
2026-08-01,1170132.82114382,"[646980.7318365494, 1693284.9104510904]"
2026-09-01,1183227.2374617977,"[634375.6085883955, 1732078.8663351997]"
2026-10-01,1196583.3946907187,"[621753.539368907, 1771413.2500125305]"
2026-11-01,1210201.027769729,"[609112.4793786601, 1811289.5761607978]"
2026-12-01,1224087.6476741445,"[596458.4026833461, 1851716.892664943]"
2027-01-01,1238246.2221031913,"[583792.3184084259, 1892700.1257979567]"
2027-02-01,1252676.8834310302,"[571112.8118943502, 1934240.9549677102]"
