date,prediction,confidence_interval
2025-03-01,200897.1891663363,"[165019.85058965473, 236774.52774301785]"
2025-04-01,207072.67942968817,"[169620.88667594313, 244524.47218343322]"
2025-05-01,200616.9833203494,"[162618.66892714155, 238615.29771355723]"
2025-06-01,204883.01580105937,"[165616.59714513159, 244149.43445698716]"
2025-07-01,200075.24721597772,"[160230.23583641343, 239920.25859554202]"
2025-08-01,202973.39604567664,"[162071.51459847565, 243875.27749287762]"
2025-09-01,199353.77805266372,"[157863.76244038256, 240843.79366494488]"
2025-10-01,201273.08089934272,"[158878.2302698324, 243667.93152885305]"
2025-11-01,198511.15271819747,"[155533.92358048237, 241488.38185591256]"
2025-12-01,199731.04777714593,"[155962.61329587034, 243499.4822584215]"
2026-01-01,197589.26836672894,"[153254.0422962608, 241924.49443719708]"
2026-02-01,198310.44577076903,"[153271.85148810738, 243349.04005343068]"
2026-03-01,196618.04189914244,"[151034.16729870712, 242201.91649957775]"
2026-04-01,196984.6112916306,"[150767.34779657377, 243201.87478668743]"
2026-05-01,195618.7865643659,"[148880.98843968438, 242356.58468904742]"
2026-06-01,195734.20508580882,"[148420.28301477683, 243048.1271568408]"
2026-07-01,194606.6380365529,"[146798.36388692143, 242414.91218618437]"
2026-08-01,194545.1549895983,"[146208.72783580943, 242881.58214338715]"
2026-09-01,193592.29751584522,"[144787.9703930859, 242396.62463860452]"
2026-10-01,193407.17763554386,"[144115.70095390535, 242698.65431718237]"
2026-11-01,192583.2840934042,"[142849.89577637168, 242316.6724104367]"
2026-12-01,192312.71615361568,"[142127.8297924292, 242497.60251480216]"
2027-01-01,191584.83451113457,"[140983.1208329786, 242186.54818929054]"
2027-02-01,191256.17677935274,"[140234.4086947307, 242277.9448639748]"
