date,prediction,confidence_interval
2025-03-01,357377.70803977165,"[314543.34208630916, 400212.07399323414]"
2025-04-01,359598.52830783423,"[312060.9435544521, 407136.11306121637]"
2025-05-01,361732.2682972795,"[308498.8746518557, 414965.6619427033]"
2025-06-01,363005.0579069274,"[303554.1677435081, 422455.9480703467]"
2025-07-01,364741.0522572735,"[300429.0067555187, 429053.0977590283]"
2025-08-01,366401.26039990433,"[297380.9759722792, 435421.54482752946]"
2025-09-01,368012.2882630604,"[294551.7336548216, 441472.8428712992]"
2025-10-01,369663.30370222515,"[292064.8368375033, 447261.770566947]"
2025-11-01,371302.9732012034,"[289757.9805625371, 452847.9658398697]"
2025-12-01,372940.8885839128,"[287632.3756907065, 458249.4014771191]"
2026-01-01,374581.88132909226,"[285671.9163020757, 463491.8463561088]"
2026-02-01,376221.6129717688,"[283848.94371420075, 468594.2822293368]"
2026-03-01,377861.4108440892,"[282151.49903904134, 473571.322649137]"
2026-04-01,379501.415283019,"[280566.91324451845, 478435.9173215196]"
2026-05-01,381141.29992484185,"[279083.9199961452, 483198.6798535385]"
2026-06-01,382781.20724236814,"[277693.7455095574, 487868.66897517885]"
2026-07-01,384421.1256840551,"[276388.5403007546, 492453.7110673556]"
2026-08-01,386061.03402377805,"[275161.50170890184, 496960.56633865426]"
2026-09-01,387700.9454781742,"[274006.74054069613, 501395.15041565226]"
2026-10-01,389340.85724687757,"[272919.04546106776, 505762.6690326874]"
2026-11-01,390980.7682575286,"[271893.8067288153, 510067.7297862419]"
2026-12-01,392620.6796013313,"[270926.9226607054, 514314.4365419572]"
2027-01-01,394260.5909171479,"[270014.7194946542, 518506.46233964164]"
2027-02-01,395900.50218383584,"[269153.89410623495, 522647.1102614367]"
