date,prediction,confidence_interval
2025-03-01,144580.0600575863,"[109856.18570374223, 179303.93441143035]"
2025-04-01,143336.4674565955,"[105841.04393493154, 180831.89097825947]"
2025-05-01,139748.03072758103,"[100039.00097107333, 179457.06048408872]"
2025-06-01,137828.80987175455,"[96908.44191687214, 178749.17782663697]"
2025-07-01,136079.7675077086,"[94179.96937796738, 177979.56563744982]"
2025-08-01,134485.81380407923,"[91789.65334212183, 177181.97426603662]"
2025-09-01,133033.19695411532,"[89686.76073113515, 176379.6331770955]"
2025-10-01,131709.38453221472,"[87830.20527400542, 175588.56379042403]"
2025-11-01,130502.9553706489,"[86186.18957338366, 174819.72116791413]"
2025-12-01,129403.50102364495,"[84726.56810584916, 174080.43394144071]"
2026-01-01,128401.53596870799,"[83427.66906972851, 173375.40286768746]"
2026-02-01,127488.41577044729,"[82269.42102378915, 172707.41051710543]"
2026-03-01,126656.26250086633,"[81234.68944139645, 172077.8355603362]"
2026-04-01,125897.89677268147,"[80308.76237286927, 171487.03117249368]"
2026-05-01,125206.77579928799,"[79478.94486993813, 170934.60672863785]"
2026-06-01,124576.93694698701,"[78734.23457638374, 170419.63931759028]"
2026-07-01,124002.94629247108,"[78065.05909611919, 169940.83348882297]"
2026-08-01,123479.8517417491,"[77463.0611877877, 169496.6422957105]"
2026-09-01,123003.14030604498,"[76920.92153270417, 169085.3590793858]"
2026-10-01,122568.69916606863,"[76432.21139733758, 168705.18693479968]"
2026-11-01,122172.78018874185,"[75991.26934258034, 168354.29103490335]"
2026-12-01,121811.96759024804,"[75593.09746008014, 168030.83772041593]"
2027-01-01,121483.14846641905,"[75233.27359640462, 167733.02333643349]"
2027-02-01,121183.48593621083,"[74907.87676154374, 167459.0951108779]"
