date,prediction,confidence_interval
2025-03-01,218737.03597605252,"[58176.43388275959, 379297.63806934544]"
2025-04-01,240906.22569399065,"[52801.65246254549, 429010.7989254358]"
2025-05-01,247187.39434282505,"[1634.0896314205893, 492740.69905422954]"
2025-06-01,264522.774162336,"[-33230.01805884065, 562275.5663835127]"
2025-07-01,280969.4564184959,"[-86290.75962298823, 648229.67245998]"
2025-08-01,303904.8452264848,"[-143333.7590639282, 751143.4495168978]"
2025-09-01,331106.93270905386,"[-213157.9180358149, 875371.7834539226]"
2025-10-01,365123.23575387895,"[-292625.63700612576, 1022872.1085138837]"
2025-11-01,406131.50458988926,"[-384076.8685774601, 1196339.8777572387]"
2025-12-01,455486.9220611472,"[-486858.9677861422, 1397832.8119084367]"
2026-01-01,513959.65663569537,"[-601581.1661800104, 1629500.4794514012]"
2026-02-01,582610.5446429476,"[-728083.0128742075, 1893304.1021601027]"
2026-03-01,662356.0023619783,"[-866471.6022400224, 2191183.606963979]"
2026-04-01,754184.2020301633,"[-1016639.5161198692, 2525007.920180196]"
2026-05-01,859047.6635115432,"[-1178518.8839165787, 2896614.210939665]"
2026-06-01,977916.6207632391,"[-1351968.8320080559, 3307802.073534534]"
2026-07-01,1111752.5063901953,"[-1536838.9902819651, 3760344.003062356]"
2026-08-01,1261521.1260013704,"[-1732944.3308069378, 4255986.582809678]"
2026-09-01,1428186.112452749,"[-1940081.971903276, 4796454.196808774]"
2026-10-01,1612712.1781455139,"[-2158026.383125531, 5383450.739416558]"
2026-11-01,1816063.499102416,"[-2386534.5043034214, 6018661.502508253]"
2026-12-01,2039204.5178490097,"[-2625345.512354901, 6703754.54805292]"
2027-01-01,2283099.5444973516,"[-2874182.865620364, 7440381.954615068]"
2027-02-01,2548712.95494993,"[-3132754.963991743, 8230180.873891603]"
