date,prediction,confidence_interval
2025-03-01,328524.87064629525,"[293825.5177202592, 363224.2235723313]"
2025-04-01,331613.09329154727,"[293199.85018367384, 370026.3363994207]"
2025-05-01,331166.0656158224,"[290017.4794298665, 372314.6518017783]"
2025-06-01,333385.7466403655,"[288001.40002285194, 378770.0932578791]"
2025-07-01,335531.1387954286,"[286650.3657765016, 384411.91181435564]"
2025-08-01,337134.5437528122,"[285205.5168664258, 389063.5706391986]"
2025-09-01,338920.99539926625,"[283982.8648381029, 393859.1259604296]"
2025-10-01,340765.75672762736,"[282972.4907422018, 398559.0227130529]"
2025-11-01,342553.7411919777,"[282065.8702870206, 403041.6120969348]"
2025-12-01,344346.90002344764,"[281272.25498450897, 407421.5450623863]"
2026-01-01,346150.48925141094,"[280588.12203659245, 411712.8564662294]"
2026-02-01,347949.76251267886,"[279992.9680520259, 415906.55697333184]"
2026-03-01,349748.15850309614,"[279478.3756902668, 420017.9413159255]"
2026-04-01,351547.7396047467,"[279038.290085398, 424057.18912409537]"
2026-05-01,353347.1407099112,"[278665.3081301256, 428028.9732896968]"
2026-06-01,355146.3463233772,"[278353.6008525888, 431939.09179416567]"
2026-07-01,356945.65041507076,"[278098.4438513682, 435792.8569787733]"
2026-08-01,358744.9655202174,"[277895.49124344264, 439594.4397969921]"
2026-09-01,360544.25636377005,"[277740.9241535468, 443347.5885739933]"
2026-10-01,362343.5523636692,"[277631.41230210935, 447055.69242522906]"
2026-11-01,364142.8519114406,"[277563.9768186461, 450721.72700423514]"
2026-12-01,365942.1492716697,"[277535.9480516502, 454348.35049168917]"
2027-01-01,367741.4465555971,"[277544.9319935301, 457937.9611176642]"
2027-02-01,369540.744326491,"[277588.7672626842, 461492.72139029787]"
