date,prediction,confidence_interval
2025-03-01,184246.41611777587,"[118608.34008446982, 249884.4921510819]"
2025-04-01,195459.24534620155,"[127184.55676516314, 263733.93392723997]"
2025-05-01,188480.91126217128,"[120203.51882476718, 256758.3036995754]"
2025-06-01,196401.36423703574,"[126436.82834488616, 266365.9001291853]"
2025-07-01,192119.5269012911,"[122119.64812916507, 262119.40567341715]"
2025-08-01,197831.5157901781,"[126650.76113954141, 269012.2704408148]"
2025-09-01,195358.4377722977,"[124056.1146277756, 266660.7609168198]"
2025-10-01,199589.03047696163,"[127392.34977576835, 271785.7111781549]"
2025-11-01,198329.2342003037,"[125926.40777830736, 270732.0606223]"
2025-12-01,201566.13419854568,"[128439.02555486355, 274693.2428422278]"
2026-01-01,201120.18450116727,"[127719.62340763287, 274520.7455947017]"
2026-02-01,203690.53411585058,"[129670.76319095762, 277710.30504074355]"
2026-03-01,203790.49740150088,"[129448.55464444401, 278132.4401585577]"
2026-04-01,205913.737551708,"[131019.77758096856, 280807.69752244744]"
2026-05-01,206379.88900184396,"[131130.50736269396, 281629.27064099396]"
2026-06-01,208203.21653005714,"[132446.1453075594, 283960.28775255487]"
2026-07-01,208915.00011567632,"[132780.8858895442, 285049.1143418084]"
2026-08-01,210537.15189616365,"[133925.47910877585, 287148.82468355144]"
2026-09-01,211413.70089976623,"[134411.65721621772, 288415.74458331475]"
2026-10-01,212900.9077712865,"[135442.42398012575, 290359.39156244724]"
2026-11-01,213887.97831927025,"[136031.52870261064, 291744.42793592985]"
2026-12-01,215284.66668315732,"[136987.07248327706, 293582.2608830376]"
2027-01-01,216345.8730050304,"[137646.59949702414, 295045.1465130366]"
2027-02-01,217681.84325597156,"[138552.90405206324, 296810.7824598799]"
