date,prediction,confidence_interval
2025-03-01,286847.05128434376,"[273301.4310293825, 300392.671539305]"
2025-04-01,288582.492721008,"[271617.81274809194, 305547.1726939241]"
2025-05-01,290317.9341576723,"[270515.99220554787, 310119.8761097967]"
2025-06-01,292053.37559433654,"[269772.5891726873, 314334.16201598576]"
2025-07-01,293788.8170310008,"[269278.61543943913, 318299.01862256246]"
2025-08-01,295524.25846766506,"[268971.16974806716, 322077.34718726296]"
2025-09-01,297259.6999043293,"[268810.04157522664, 325709.358233432]"
2025-10-01,298995.1413409936,"[268767.6770488217, 329222.60563316545]"
2025-11-01,300730.58277765784,"[268824.2176442496, 332636.94791106606]"
2025-12-01,302466.0242143221,"[268964.790289014, 335967.2581396302]"
2026-01-01,304201.46565098636,"[269177.91338954295, 339225.01791242976]"
2026-02-01,305936.9070876506,"[269454.5037745203, 342419.31040078093]"
2026-03-01,307672.3485243149,"[269787.228886207, 345557.46816242277]"
2026-04-01,309407.78996097913,"[270170.0679515965, 348645.51197036175]"
2026-05-01,311143.2313976434,"[270598.0052054339, 351688.4575898529]"
2026-06-01,312878.67283430765,"[271066.8096197931, 354690.5360488222]"
2026-07-01,314614.1142709719,"[271572.8730718485, 357655.35547009535]"
2026-08-01,316349.5557076362,"[272113.0890488606, 360586.02236641175]"
2026-09-01,318084.99714430043,"[272684.76013010845, 363485.2341584924]"
2026-10-01,319820.4385809647,"[273285.52631676616, 366355.3508451632]"
2026-11-01,321555.88001762895,"[273913.30874016223, 369198.45129509567]"
2026-12-01,323291.3214542932,"[274566.2648979346, 372016.3780106518]"
2027-01-01,325026.76289095747,"[275242.7526576287, 374810.77312428626]"
2027-02-01,326762.20432762173,"[275941.3010160509, 377583.10763919255]"
