date,prediction,confidence_interval
2025-03-01,953971.0939480574,"[715055.3926834681, 1192886.7952126467]"
2025-04-01,954452.126058946,"[706198.0061483848, 1202706.2459695071]"
2025-05-01,913720.9053892588,"[646288.0771521474, 1181153.73362637]"
2025-06-01,909595.3828757029,"[627673.37103695, 1191517.3947144558]"
2025-07-01,869959.7542825937,"[564291.5783315636, 1175627.9302336238]"
2025-08-01,861645.5046073908,"[536529.4484329937, 1186761.560781788]"
2025-09-01,822718.2571305516,"[469913.5071210554, 1175523.0071400478]"
2025-10-01,810574.1181900399,"[433847.59146985045, 1187300.6449102294]"
2025-11-01,772022.7079475878,"[364247.25598194497, 1179798.1599132307]"
2025-12-01,756356.8563153852,"[320723.05123342713, 1191990.6613973433]"
2026-01-01,717895.688516073,"[248318.06956597615, 1187473.3074661698]"
2026-02-01,698972.7918917064,"[198083.1228673042, 1199862.4609161087]"
2026-03-01,660356.5924853075,"[122978.0380917245, 1197735.1468788905]"
2026-04-01,638403.952348414,"[66659.98339814425, 1210147.9212986836]"
2026-05-01,599422.0754773762,"[-11096.788960330887, 1209940.9399150833]"
2026-06-01,574634.9025119103,"[-72980.51438420615, 1222250.3194080268]"
2026-07-01,535106.4416463227,"[-153376.28752787982, 1223589.1708205254]"
2026-08-01,507652.3863717207,"[-220400.23006808152, 1235705.002811523]"
2026-09-01,467421.9756622622,"[-303442.6245222478, 1238286.5758467722]"
2026-10-01,437445.01942266995,"[-375255.4724642204, 1250145.5113095604]"
2026-11-01,396379.22782543587,"[-460962.17738437926, 1253720.633035251]"
2026-12-01,364003.02444269496,"[-537271.8104285204, 1265277.8593139104]"
2027-01-01,321987.2589273937,"[-625664.247377179, 1269638.7652319665]"
2027-02-01,287318.00457397854,"[-706225.8797275964, 1280861.8888755534]"
