date,prediction,confidence_interval
2025-03-01,304997.2464404947,"[263491.0963228506, 346503.39655813883]"
2025-04-01,302557.65595024836,"[255734.01826916158, 349381.29363133514]"
2025-05-01,303076.2627181912,"[253874.63483493257, 352277.8906014498]"
2025-06-01,304718.99990652513,"[253608.9402070822, 355829.05960596807]"
2025-07-01,306755.3949550794,"[253582.6300090804, 359928.15990107844]"
2025-08-01,308894.51508530654,"[253269.11133132942, 364519.91883928364]"
2025-09-01,311020.4875235412,"[252450.24281643462, 369590.7322306478]"
2025-10-01,313087.16243495245,"[251041.5445494725, 375132.7803204324]"
2025-11-01,315076.15925275517,"[249021.15876134712, 381131.1597441632]"
2025-12-01,316980.15736060095,"[246397.45506932502, 387562.85965187685]"
2026-01-01,318796.24110173417,"[243193.02786486712, 394399.4543386012]"
2026-02-01,320523.2492277143,"[239436.34972021286, 401610.1487352158]"
2026-03-01,322160.7192362467,"[235157.3174263132, 409164.12104618025]"
2026-04-01,323708.46692181146,"[230384.9155445986, 417032.0182990243]"
2026-05-01,325166.4189189919,"[225146.07731207012, 425186.76052591373]"
2026-06-01,326534.5460077931,"[219465.22722941416, 433603.86478617205]"
2026-07-01,327812.83655046875,"[213364.20287673853, 442261.470224199]"
2026-08-01,329001.2859119347,"[206862.37613338823, 451140.1956904811]"
2026-09-01,330099.8922461284,"[199976.8679763914, 460222.9165158654]"
2026-10-01,331108.65481779986,"[192722.79631369907, 469494.5133219006]"
2026-11-01,332027.5733341133,"[185113.52381767842, 478941.6228505481]"
2026-12-01,332856.6476784382,"[177160.88911325615, 488552.4062436203]"
2027-01-01,333595.87780432287,"[168875.4141632138, 498316.3414454319]"
2027-02-01,334245.2636932665,"[160266.48597149996, 508224.04141503305]"
