date,prediction,confidence_interval
2025-03-01,251720.08980129551,"[102867.58808313997, 400572.59151945106]"
2025-04-01,269012.9740551793,"[-97071.09747392655, 635097.0455842852]"
2025-05-01,287657.7094339087,"[-450717.85128443, 1026033.2701522474]"
2025-06-01,325344.92549375474,"[-922229.9994052954, 1572919.8503928047]"
2025-07-01,368954.4197111933,"[-1563250.7843201545, 2301159.6237425413]"
2025-08-01,428569.8731225103,"[-2362940.4190028086, 3220080.1652478296]"
2025-09-01,496799.93685039517,"[-3352619.0163795943, 4346218.890080385]"
2025-10-01,579413.8465246072,"[-4531811.239451615, 5690638.93250083]"
2025-11-01,672269.4965397773,"[-5921690.572720981, 7266229.5658005355]"
2025-12-01,778689.0914833235,"[-7526552.08895014, 9083930.271916788]"
2026-01-01,896373.404359149,"[-9362062.229609977, 11154809.038328275]"
2026-02-01,1027256.7531648624,"[-11434701.116087327, 13489214.622417053]"
2026-03-01,1170085.139372743,"[-13756968.94029931, 16097139.219044797]"
2026-04-01,1326005.7110782429,"[-16336266.481913975, 18988277.90407046]"
2026-05-01,1494357.2936898507,"[-19183174.275895175, 22171888.863274876]"
2026-06-01,1675840.5748649617,"[-22305386.090700943, 25657067.240430865]"
2026-07-01,1870130.6129314443,"[-25712252.535134353, 29452513.760997243]"
2026-08-01,2077674.8758514237,"[-29411452.235154085, 33566801.98685693]"
2026-09-01,2298339.123726382,"[-33411500.518159136, 38008178.7656119]"
2026-10-01,2532427.205490624,"[-37719915.83827257, 42784770.249253824]"
2026-11-01,2779913.041881797,"[-42344611.91082311, 47904437.994586706]"
2026-12-01,3041019.0251958137,"[-47292885.422847085, 53374923.473238714]"
2027-01-01,3315780.4218148496,"[-52572192.15435833, 59203752.99798803]"
2027-02-01,3604373.4241402843,"[-58189587.61905364, 65398334.4673342]"
