date,prediction,confidence_interval
2025-03-01,277469.58453886805,"[240323.4656656409, 314615.7034120952]"
2025-04-01,267990.09340584616,"[229715.67562627868, 306264.51118541363]"
2025-05-01,273249.6999660466,"[232354.20058942627, 314145.19934266695]"
2025-06-01,282515.4859712539,"[240704.045265803, 324326.9266767048]"
2025-07-01,279705.24847571185,"[237347.49962036114, 322062.99733106256]"
2025-08-01,276161.5723378761,"[232125.95612800104, 320197.1885477511]"
2025-09-01,283104.64751533326,"[237332.56013073167, 328876.73489993485]"
2025-10-01,288286.1607056587,"[241838.6791683607, 334733.6422429568]"
2025-11-01,284909.47082979645,"[237680.06294211574, 332138.87871747714]"
2025-12-01,284986.6632416507,"[236174.05039227643, 333799.2760910249]"
2026-01-01,291589.02970133594,"[241573.02980382618, 341605.0295988457]"
2026-02-01,293754.6457911332,"[243102.10811432987, 344407.1834679366]"
2026-03-01,291355.82669157244,"[239747.65364534664, 342963.99973779824]"
2026-04-01,293786.9675196445,"[240816.9736812436, 346756.96135804534]"
2026-05-01,299017.8440720318,"[245137.56660331506, 352898.1215407485]"
2026-06-01,299484.68330011255,"[244925.01395146325, 354044.3526487619]"
2026-07-01,298644.4454872191,"[243056.01115091032, 354232.8798235279]"
2026-08-01,302172.0126109052,"[245453.03878164396, 358890.9864401665]"
2026-09-01,305821.63494183973,"[248334.7450262696, 363308.5248574098]"
2026-10-01,305711.82911785727,"[247482.92477338712, 363940.73346232745]"
2026-11-01,306353.8504504881,"[247110.87342567, 365596.82747530617]"
2026-12-01,310036.5309699509,"[249848.54186250843, 370224.5200773934]"
2027-01-01,312384.4626719834,"[251485.03733827613, 373283.88800569065]"
2027-02-01,312438.55951054755,"[250749.95184624585, 374127.16717484925]"
