date,prediction,confidence_interval
2025-03-01,132087.13727220037,"[66762.85873356136, 197411.4158108394]"
2025-04-01,130031.10712975197,"[50073.084636873275, 209989.12962263066]"
2025-05-01,128579.86814539731,"[42251.96087810003, 214907.7754126946]"
2025-06-01,127555.51809029416,"[38223.381978533085, 216887.65420205524]"
2025-07-01,126832.48553211326,"[36040.68345659893, 217624.2876076276]"
2025-08-01,126322.13647947717,"[34811.79258037725, 217832.48037857708]"
2025-09-01,125961.90905599591,"[34095.67261990823, 217828.1454920836]"
2025-10-01,125707.64426220887,"[33664.6095422427, 217750.678982175]"
2025-11-01,125528.17268079847,"[33397.180597432045, 217659.1647641649]"
2025-12-01,125401.49352850919,"[33226.710878887694, 217576.2761781307]"
2026-01-01,125312.07765832731,"[33115.48554794531, 217508.6697687093]"
2026-02-01,125248.9638965449,"[33041.50785790889, 217456.41993518092]"
2026-03-01,125204.41535143513,"[32991.54719206644, 217417.28351080383]"
2026-04-01,125172.9709751953,"[32957.40652148839, 217388.53542890222]"
2026-05-01,125150.77611350732,"[32933.868348385746, 217367.6838786289]"
2026-06-01,125135.10997716576,"[32917.53295818552, 217352.686996146]"
2026-07-01,125124.05211019986,"[32906.141659094355, 217341.96256130538]"
2026-08-01,125116.24696800209,"[32898.17039564975, 217334.32354035444]"
2026-09-01,125110.73774593283,"[32892.578409191396, 217328.89708267426]"
2026-10-01,125106.84908804046,"[32888.64851666546, 217325.04965941544]"
2026-11-01,125104.10429757572,"[32885.88318239439, 217322.32541275705]"
2026-12-01,125102.16690043153,"[32883.93554996952, 217320.39825089354]"
2027-01-01,125100.79939797826,"[32882.56294812141, 217319.03584783513]"
2027-02-01,125099.83415295076,"[32881.59516248664, 217318.07314341486]"
