date,prediction,confidence_interval
2025-03-01,188515.50193355518,"[119626.86352954034, 257404.14033757002]"
2025-04-01,189796.68742121395,"[118129.76783103583, 261463.60701139207]"
2025-05-01,187799.0954009692,"[110919.4356767044, 264678.755125234]"
2025-06-01,186665.51408861214,"[99391.14602973136, 273939.8821474929]"
2025-07-01,186199.3786202856,"[94378.16117998784, 278020.59606058337]"
2025-08-01,184919.00659906515,"[87560.23698136793, 282277.7762167624]"
2025-09-01,183958.00361305836,"[80622.0966931997, 287293.910532917]"
2025-10-01,183088.01034375434,"[75052.46802996109, 291123.5526575476]"
2025-11-01,182028.08419796344,"[69107.85208338789, 294948.316312539]"
2025-12-01,181067.97805098852,"[63390.52719739365, 298745.4289045834]"
2026-01-01,180111.0427860979,"[58052.85999149484, 302169.22558070096]"
2026-02-01,179112.76766620256,"[52721.416359371564, 305504.11897303356]"
2026-03-01,178142.732430696,"[47564.10511731144, 308721.3597440806]"
2026-04-01,177168.7422537238,"[42569.96089997183, 311767.52360747574]"
2026-05-01,176186.51687739702,"[37657.82024099707, 314715.213513797]"
2026-06-01,175211.71270216574,"[32866.206985148834, 317557.21841918264]"
2026-07-01,174234.8401453179,"[28178.806302066077, 320290.8739885697]"
2026-08-01,173256.53731343098,"[23575.62569464717, 322937.44893221476]"
2026-09-01,172280.06422439334,"[19061.94870118826, 325498.1797475984]"
2026-10-01,171302.84620470743,"[14628.37083267598, 327977.32157673885]"
2026-11-01,170325.44310099672,"[10267.799814968865, 330383.0863870246]"
2026-12-01,169348.4636218963,"[5978.31888404669, 332718.60835974594]"
2027-01-01,168371.25449620603,"[1754.5543866002408, 334987.95460581186]"
2027-02-01,167394.04329659356,"[-2407.4564892967755, 337195.5430824839]"
