date,prediction,confidence_interval
2025-03-01,536018.5604001515,"[479660.36110521795, 592376.7596950851]"
2025-04-01,535646.0114351453,"[473810.9991998561, 597481.0236704345]"
2025-05-01,545778.0421241905,"[475789.4576285299, 615766.6266198511]"
2025-06-01,551092.7773518839,"[473450.1052474119, 628735.449456356]"
2025-07-01,548067.8283388414,"[465606.7881770005, 630528.8685006824]"
2025-08-01,548896.1473697779,"[462086.7276971719, 635705.567042384]"
2025-09-01,556345.3414066723,"[463902.94339441496, 648787.7394189296]"
2025-10-01,560712.5116725242,"[462797.58712369733, 658627.436221351]"
2025-11-01,559823.4320186137,"[457822.59551158256, 661824.2685256448]"
2025-12-01,561399.3913811548,"[455573.980106524, 667224.8026557856]"
2026-01-01,567148.1879646402,"[456838.3566218833, 677458.0193073971]"
2026-02-01,570925.5022521137,"[456224.7223821088, 685626.2821221185]"
2026-03-01,571390.1197757567,"[453056.90352395177, 689723.3360275617]"
2026-04-01,573431.4169086495,"[451629.216510764, 695233.617306535]"
2026-05-01,578102.5381918176,"[452485.5603761819, 703719.5160074533]"
2026-06-01,581512.7737786382,"[452150.7328518666, 710874.8147054098]"
2026-07-01,582835.316995348,"[450169.55394094926, 715501.0800497467]"
2026-08-01,585166.1604974635,"[449306.939213932, 721025.381780995]"
2026-09-01,589154.3036942931,"[449922.2817539385, 728386.3256346477]"
2026-10-01,592336.1663640626,"[449788.21066180896, 734884.1220663162]"
2026-11-01,594202.409446036,"[448607.29721728945, 739797.5216747825]"
2026-12-01,596713.363053984,"[448150.02594411786, 745276.7001638501]"
2027-01-01,600268.6865177276,"[448648.28483186924, 751889.0882035859]"
2027-02-01,603308.5133212245,"[448678.995102715, 757938.031539734]"
