date,prediction,confidence_interval
2025-03-01,211604.74697944167,"[169337.02026184564, 253872.4736970377]"
2025-04-01,197308.15087335347,"[140406.93329687195, 254209.368449835]"
2025-05-01,186538.965441422,"[111281.3273597773, 261796.60352306673]"
2025-06-01,176938.42582157685,"[74529.93810543187, 279346.91353772185]"
2025-07-01,168395.64623556563,"[37564.9059291974, 299226.38654193387]"
2025-08-01,156265.82338102706,"[-2510.5042680528713, 315042.151030107]"
2025-09-01,146489.94240558008,"[-44622.89535351237, 337602.7801646725]"
2025-10-01,136497.76594817176,"[-88965.34876291934, 361960.8806592629]"
2025-11-01,125561.32174185198,"[-135085.4792402461, 386208.1227239501]"
2025-12-01,114777.16491038087,"[-183206.66319860067, 412760.99301936245]"
2026-01-01,104365.85667281109,"[-232960.929821431, 441692.6431670532]"
2026-02-01,93388.66017655809,"[-284488.7138466099, 471266.03419972607]"
2026-03-01,82344.89443513566,"[-337647.38816455385, 502337.17703482514]"
2026-04-01,71409.10291146161,"[-392348.2658257245, 535166.4716486477]"
2026-05-01,60263.92643355612,"[-448586.93891290884, 569114.791780021]"
2026-06-01,48953.18058979217,"[-506332.9654143546, 604239.326593939]"
2026-07-01,37641.67085715515,"[-565493.6304872534, 640776.9722015637]"
2026-08-01,26211.41278427858,"[-626061.950787192, 678484.7763557492]"
2026-09-01,14639.048981226058,"[-688014.0608410552, 717292.1588035073]"
2026-10-01,2997.8974019185493,"[-751296.2545382864, 757292.0493421234]"
2026-11-01,-8735.662796477147,"[-815884.108501931, 798412.7829089768]"
2026-12-01,-20590.225901467064,"[-881761.6572693356, 840581.2054664015]"
2027-01-01,-32537.551637986846,"[-948893.677411983, 883818.5741360094]"
2027-02-01,-44577.07191850429,"[-1017255.2525403565, 928101.1087033479]"
