date,prediction,confidence_interval
2025-03-01,162654.30025303754,"[54514.672803679525, 270793.92770239554]"
2025-04-01,151399.33045315553,"[-2198.0442296737747, 304996.7051359848]"
2025-05-01,162662.74616186772,"[-62159.72306391885, 387485.21538765426]"
2025-06-01,116332.74814024335,"[-198098.4871964953, 430763.983476982]"
2025-07-01,115661.03965134296,"[-285308.1586521082, 516630.23795479414]"
2025-08-01,97439.62487550193,"[-406499.85533953435, 601379.1050905382]"
2025-09-01,73194.26993728621,"[-539574.3290858387, 685962.868960411]"
2025-10-01,63061.678812152626,"[-664549.4363501654, 790672.7939744706]"
2025-11-01,41107.91685983049,"[-810902.833476789, 893118.6671964499]"
2025-12-01,23199.57492359756,"[-958597.9999452768, 1004997.1497924718]"
2026-01-01,6449.161996668681,"[-1112237.9766283405, 1125136.300621678]"
2026-02-01,-14205.846852762146,"[-1276623.7516897153, 1248212.057984191]"
2026-03-01,-32252.595165740524,"[-1444256.5001324741, 1379751.3098009932]"
2026-04-01,-51674.961158251695,"[-1619801.0775120244, 1516451.1551955212]"
2026-05-01,-71750.57973011713,"[-1802001.2993889065, 1658500.139928672]"
2026-06-01,-91207.71321584315,"[-1989486.978973477, 1807071.5525417908]"
2026-07-01,-111682.97031561032,"[-2183979.8134785313, 1960613.8728473105]"
2026-08-01,-132177.07423553907,"[-2384211.913801003, 2119857.765329925]"
2026-09-01,-152871.75540182125,"[-2590378.0155347353, 2284634.5047310926]"
2026-10-01,-174087.50076728122,"[-2802726.863336847, 2454551.8618022846]"
2026-11-01,-195414.06770837447,"[-3020743.594394447, 2629915.458977698]"
2026-12-01,-217103.12323592254,"[-3244663.9941817457, 2810457.747709901]"
2027-01-01,-239109.96702617206,"[-3474370.737549551, 2996150.8034972064]"
2027-02-01,-261354.8537963128,"[-3709737.0196142634, 3187027.3120216383]"
