date,prediction,confidence_interval
2025-03-01,441404.7008882668,"[420525.36528013187, 462284.0364964017]"
2025-04-01,442890.4618543571,"[416883.7854444409, 468897.1382642733]"
2025-05-01,445342.5002980918,"[414763.2493777049, 475921.75121847866]"
2025-06-01,446913.8860540858,"[411905.4701145466, 481922.301993625]"
2025-07-01,449350.20923198457,"[410680.04625515605, 488020.3722088131]"
2025-08-01,450950.54964063555,"[408673.0014674804, 493228.0978137907]"
2025-09-01,453361.60904558364,"[407993.3428261032, 498729.87526506407]"
2025-10-01,454987.0064723333,"[406513.12356216845, 503460.8893824981]"
2025-11-01,457373.8968019297,"[406175.79813221714, 508571.99547164224]"
2025-12-01,459022.742954552,"[405059.20341887634, 512986.28249022766]"
2026-01-01,461386.91134077316,"[404958.40233823657, 517815.42034330976]"
2026-02-01,463057.7808667334,"[404113.65337340336, 522001.90836006345]"
2026-03-01,465400.6041327947,"[404187.2669627137, 526613.9413028758]"
2026-04-01,467092.161650537,"[403556.6813125604, 530627.6419885136]"
2026-05-01,469414.93387119315,"[403764.8284211118, 535065.0393212745]"
2026-06-01,471125.9251082548,"[403309.21794194856, 538942.6322745611]"
2026-07-01,473429.86193162005,"[403624.62883360835, 543235.0950296317]"
2026-08-01,475159.10866539035,"[403315.8317016484, 547002.3856291323]"
2026-09-01,477445.3520388454,"[403718.98030575266, 551171.7237719381]"
2026-10-01,479191.7474799355,"[403535.88258758, 554847.612372291]"
2026-11-01,481461.3701172328,"[404012.2859717295, 558910.454262736]"
2026-12-01,483223.87457839586,"[403938.5253707671, 562509.2237860246]"
2027-01-01,485477.884157087,"[404477.1378059029, 566478.6305082712]"
2027-02-01,487255.52098495734,"[404499.69374163443, 570011.3482282803]"
